plate_number,brand,model,department_id,standard_fuel_per_100km,usage_date,daily_km,fuel_liters
07 AAA 001,Renault,Caddy,4,7.72,2024-04-11,165,10.5
07 AAA 001,Renault,Caddy,4,7.72,2024-04-12,220,24.35
07 AAA 001,Renault,Caddy,4,7.72,2024-04-13,213,23.92
07 AAA 001,Renault,Caddy,4,7.72,2024-04-14,52,4.35
07 AAA 001,Renault,Caddy,4,7.72,2024-04-15,164,10.37
07 AAA 001,Renault,Caddy,4,7.72,2024-04-16,99,11.38
07 AAA 001,Renault,Caddy,4,7.72,2024-04-17,234,24.42
07 AAA 001,Renault,Caddy,4,7.72,2024-04-18,98,6.3
07 AAA 001,Renault,Caddy,4,7.72,2024-04-19,42,3.17
07 AAA 001,Renault,Caddy,4,7.72,2024-04-20,276,26.74
07 AAA 001,Renault,Caddy,4,7.72,2024-04-21,62,5.71
07 AAA 001,Renault,Caddy,4,7.72,2024-04-22,182,19.56
07 AAA 001,Renault,Caddy,4,7.72,2024-04-23,137,8.94
07 AAA 001,Renault,Caddy,4,7.72,2024-04-24,184,12.91
07 AAA 001,Renault,Caddy,4,7.72,2024-04-25,266,21.13
07 AAA 001,Renault,Caddy,4,7.72,2024-04-26,178,12.22
07 AAA 001,Renault,Caddy,4,7.72,2024-04-27,125,11.89
07 AAA 001,Renault,Caddy,4,7.72,2024-04-28,173,19.02
07 AAA 001,Renault,Caddy,4,7.72,2024-04-29,55,6.37
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-01,77,5.13
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-02,88,7.94
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-03,269,16.97
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-04,245,21.88
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-05,176,15.44
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-06,245,20.8
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-07,68,5.45
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-08,195,19.96
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-09,156,12.09
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-10,130,14.83
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-11,149,16.5
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-12,118,9.41
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-13,233,23.48
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-14,78,8.99
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-15,290,27.37
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-16,219,15.11
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-17,294,28.42
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-18,168,16.14
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-19,251,18.7
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-20,147,15.16
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-21,201,19.05
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-22,44,3.65
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-23,230,23.65
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-24,293,18.3
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-25,100,8.96
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-26,73,5.75
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-27,205,13.21
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-28,249,20.78
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-29,142,14.61
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-30,127,13.89
07 AAA 002,Peugeot,Atego,4,7.71,2024-01-31,102,10.38
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-01,48,5.13
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-02,189,18.95
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-03,159,16.88
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-04,101,11.07
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-05,121,8.21
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-06,106,8.48
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-07,217,16.22
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-08,135,9.06
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-09,255,23.31
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-10,140,15.71
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-11,155,12.37
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-12,44,4.54
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-13,250,26.37
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-14,89,9.58
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-15,57,4.07
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-16,248,27.55
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-17,218,24.1
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-18,167,16.81
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-19,230,22.09
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-20,74,8.0
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-21,187,14.87
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-22,213,18.81
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-23,174,15.78
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-24,93,10.01
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-25,205,16.5
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-26,300,29.75
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-27,226,24.43
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-28,275,31.39
07 AAA 002,Peugeot,Atego,4,7.71,2024-02-29,190,20.25
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-01,219,16.49
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-02,161,12.86
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-03,82,9.4
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-04,222,14.26
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-05,201,14.11
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-06,163,15.18
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-07,41,3.8
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-08,53,5.69
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-09,86,6.84
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-10,95,9.81
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-11,62,6.48
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-12,278,17.23
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-13,263,29.81
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-14,216,24.16
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-15,283,21.78
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-16,150,13.06
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-17,261,16.87
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-18,235,26.36
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-19,139,9.33
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-20,158,11.27
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-21,231,24.75
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-22,279,20.64
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-23,156,13.68
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-24,228,14.35
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-25,164,18.12
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-26,64,5.4
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-27,151,13.91
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-28,82,5.42
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-29,70,8.06
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-30,298,30.11
07 AAA 002,Peugeot,Atego,4,7.71,2024-03-31,155,9.57
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-01,247,22.43
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-02,181,16.32
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-03,289,28.28
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-04,252,15.85
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-05,256,19.33
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-06,87,5.53
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-07,252,27.67
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-08,243,27.94
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-09,198,22.21
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-10,139,13.79
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-11,240,18.56
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-12,73,7.73
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-13,244,26.82
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-14,169,15.26
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-15,44,4.4
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-16,71,5.33
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-17,103,11.43
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-18,255,21.5
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-19,99,10.47
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-20,209,16.02
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-21,86,8.79
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-22,194,17.34
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-23,191,13.51
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-24,262,23.24
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-25,234,17.69
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-26,208,18.42
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-27,72,5.13
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-28,274,21.15
07 AAA 002,Peugeot,Atego,4,7.71,2024-04-29,217,21.67
07 AAA 003,Renault,Boxer,3,24.7,2024-01-01,229,51.86
07 AAA 003,Renault,Boxer,3,24.7,2024-01-02,105,24.08
07 AAA 003,Renault,Boxer,3,24.7,2024-01-03,86,25.88
07 AAA 003,Renault,Boxer,3,24.7,2024-01-04,262,56.52
07 AAA 003,Renault,Boxer,3,24.7,2024-01-05,212,56.06
07 AAA 003,Renault,Boxer,3,24.7,2024-01-06,222,49.57
07 AAA 003,Renault,Boxer,3,24.7,2024-01-07,197,55.62
07 AAA 003,Renault,Boxer,3,24.7,2024-01-08,184,44.66
07 AAA 003,Renault,Boxer,3,24.7,2024-01-09,141,38.25
07 AAA 003,Renault,Boxer,3,24.7,2024-01-10,255,72.93
07 AAA 003,Renault,Boxer,3,24.7,2024-01-11,52,15.44
07 AAA 003,Renault,Boxer,3,24.7,2024-01-12,129,28.16
07 AAA 003,Renault,Boxer,3,24.7,2024-01-13,283,96.38
07 AAA 003,Renault,Boxer,3,24.7,2024-01-14,128,28.27
07 AAA 003,Renault,Boxer,3,24.7,2024-01-15,54,10.83
07 AAA 003,Renault,Boxer,3,24.7,2024-01-16,61,15.69
07 AAA 003,Renault,Boxer,3,24.7,2024-01-17,205,49.66
07 AAA 003,Renault,Boxer,3,24.7,2024-01-18,250,85.84
07 AAA 003,Renault,Boxer,3,24.7,2024-01-19,172,47.33
07 AAA 003,Renault,Boxer,3,24.7,2024-01-20,273,78.95
07 AAA 003,Renault,Boxer,3,24.7,2024-01-21,152,30.53
07 AAA 003,Renault,Boxer,3,24.7,2024-01-22,214,49.46
07 AAA 003,Renault,Boxer,3,24.7,2024-01-23,154,44.65
07 AAA 003,Renault,Boxer,3,24.7,2024-01-24,161,50.56
07 AAA 003,Renault,Boxer,3,24.7,2024-01-25,123,34.92
07 AAA 003,Renault,Boxer,3,24.7,2024-01-26,107,37.69
07 AAA 003,Renault,Boxer,3,24.7,2024-01-27,189,44.41
07 AAA 003,Renault,Boxer,3,24.7,2024-01-28,66,20.82
07 AAA 003,Renault,Boxer,3,24.7,2024-01-29,181,59.35
07 AAA 003,Renault,Boxer,3,24.7,2024-01-30,236,74.3
07 AAA 003,Renault,Boxer,3,24.7,2024-01-31,73,24.61
07 AAA 003,Renault,Boxer,3,24.7,2024-02-01,77,22.87
07 AAA 003,Renault,Boxer,3,24.7,2024-02-02,95,21.22
07 AAA 003,Renault,Boxer,3,24.7,2024-02-03,227,52.9
07 AAA 003,Renault,Boxer,3,24.7,2024-02-04,176,40.49
07 AAA 003,Renault,Boxer,3,24.7,2024-02-05,273,99.73
07 AAA 003,Renault,Boxer,3,24.7,2024-02-06,243,89.64
07 AAA 003,Renault,Boxer,3,24.7,2024-02-07,194,51.33
07 AAA 003,Renault,Boxer,3,24.7,2024-02-08,105,26.81
07 AAA 003,Renault,Boxer,3,24.7,2024-02-09,300,68.81
07 AAA 003,Renault,Boxer,3,24.7,2024-02-10,233,69.1
07 AAA 003,Renault,Boxer,3,24.7,2024-02-11,125,34.83
07 AAA 003,Renault,Boxer,3,24.7,2024-02-12,286,70.02
07 AAA 003,Renault,Boxer,3,24.7,2024-02-13,133,48.36
07 AAA 003,Renault,Boxer,3,24.7,2024-02-14,178,48.27
07 AAA 003,Renault,Boxer,3,24.7,2024-02-15,292,77.78
07 AAA 003,Renault,Boxer,3,24.7,2024-02-16,125,42.7
07 AAA 003,Renault,Boxer,3,24.7,2024-02-17,90,22.45
07 AAA 003,Renault,Boxer,3,24.7,2024-02-18,240,76.36
07 AAA 003,Renault,Boxer,3,24.7,2024-02-19,220,52.44
07 AAA 003,Renault,Boxer,3,24.7,2024-02-20,149,54.85
07 AAA 003,Renault,Boxer,3,24.7,2024-02-21,81,27.99
07 AAA 003,Renault,Boxer,3,24.7,2024-02-22,63,22.97
07 AAA 003,Renault,Boxer,3,24.7,2024-02-23,159,32.93
07 AAA 003,Renault,Boxer,3,24.7,2024-02-24,47,13.23
07 AAA 003,Renault,Boxer,3,24.7,2024-02-25,82,21.15
07 AAA 003,Renault,Boxer,3,24.7,2024-02-26,183,55.09
07 AAA 003,Renault,Boxer,3,24.7,2024-02-27,203,73.16
07 AAA 003,Renault,Boxer,3,24.7,2024-02-28,46,16.31
07 AAA 003,Renault,Boxer,3,24.7,2024-02-29,205,69.84
07 AAA 003,Renault,Boxer,3,24.7,2024-03-01,159,31.61
07 AAA 003,Renault,Boxer,3,24.7,2024-03-02,267,59.12
07 AAA 003,Renault,Boxer,3,24.7,2024-03-03,214,69.1
07 AAA 003,Renault,Boxer,3,24.7,2024-03-04,41,14.11
07 AAA 003,Renault,Boxer,3,24.7,2024-03-05,240,50.96
07 AAA 003,Renault,Boxer,3,24.7,2024-03-06,102,29.7
07 AAA 003,Renault,Boxer,3,24.7,2024-03-07,190,61.6
07 AAA 003,Renault,Boxer,3,24.7,2024-03-08,253,80.11
07 AAA 003,Renault,Boxer,3,24.7,2024-03-09,260,70.34
07 AAA 003,Renault,Boxer,3,24.7,2024-03-10,239,50.8
07 AAA 003,Renault,Boxer,3,24.7,2024-03-11,198,43.84
07 AAA 003,Renault,Boxer,3,24.7,2024-03-12,167,55.64
07 AAA 003,Renault,Boxer,3,24.7,2024-03-13,128,26.73
07 AAA 003,Renault,Boxer,3,24.7,2024-03-14,126,45.16
07 AAA 003,Renault,Boxer,3,24.7,2024-03-15,255,51.07
07 AAA 003,Renault,Boxer,3,24.7,2024-03-16,290,102.22
07 AAA 003,Renault,Boxer,3,24.7,2024-03-17,124,26.48
07 AAA 003,Renault,Boxer,3,24.7,2024-03-18,211,77.74
07 AAA 003,Renault,Boxer,3,24.7,2024-03-19,138,44.85
07 AAA 003,Renault,Boxer,3,24.7,2024-03-20,247,67.35
07 AAA 003,Renault,Boxer,3,24.7,2024-03-21,79,20.26
07 AAA 003,Renault,Boxer,3,24.7,2024-03-22,243,72.66
07 AAA 003,Renault,Boxer,3,24.7,2024-03-23,249,61.85
07 AAA 003,Renault,Boxer,3,24.7,2024-03-24,89,23.87
07 AAA 003,Renault,Boxer,3,24.7,2024-03-25,172,62.7
07 AAA 003,Renault,Boxer,3,24.7,2024-03-26,95,19.11
07 AAA 003,Renault,Boxer,3,24.7,2024-03-27,75,21.63
07 AAA 003,Renault,Boxer,3,24.7,2024-03-28,209,54.49
07 AAA 003,Renault,Boxer,3,24.7,2024-03-29,119,36.18
07 AAA 003,Renault,Boxer,3,24.7,2024-03-30,51,15.68
07 AAA 003,Renault,Boxer,3,24.7,2024-03-31,187,50.56
07 AAA 003,Renault,Boxer,3,24.7,2024-04-01,243,74.82
07 AAA 003,Renault,Boxer,3,24.7,2024-04-02,174,58.13
07 AAA 003,Renault,Boxer,3,24.7,2024-04-03,121,31.99
07 AAA 003,Renault,Boxer,3,24.7,2024-04-04,110,31.36
07 AAA 003,Renault,Boxer,3,24.7,2024-04-05,217,78.85
07 AAA 003,Renault,Boxer,3,24.7,2024-04-06,166,58.37
07 AAA 003,Renault,Boxer,3,24.7,2024-04-07,210,60.59
07 AAA 003,Renault,Boxer,3,24.7,2024-04-08,169,37.47
07 AAA 003,Renault,Boxer,3,24.7,2024-04-09,295,71.19
07 AAA 003,Renault,Boxer,3,24.7,2024-04-10,44,12.54
07 AAA 003,Renault,Boxer,3,24.7,2024-04-11,255,65.27
07 AAA 003,Renault,Boxer,3,24.7,2024-04-12,207,49.38
07 AAA 003,Renault,Boxer,3,24.7,2024-04-13,266,67.13
07 AAA 003,Renault,Boxer,3,24.7,2024-04-14,93,21.73
07 AAA 003,Renault,Boxer,3,24.7,2024-04-15,215,45.27
07 AAA 003,Renault,Boxer,3,24.7,2024-04-16,171,42.94
07 AAA 003,Renault,Boxer,3,24.7,2024-04-17,58,13.54
07 AAA 003,Renault,Boxer,3,24.7,2024-04-18,274,65.91
07 AAA 003,Renault,Boxer,3,24.7,2024-04-19,273,85.87
07 AAA 003,Renault,Boxer,3,24.7,2024-04-20,288,65.38
07 AAA 003,Renault,Boxer,3,24.7,2024-04-21,154,44.15
07 AAA 003,Renault,Boxer,3,24.7,2024-04-22,151,34.1
07 AAA 003,Renault,Boxer,3,24.7,2024-04-23,146,35.67
07 AAA 003,Renault,Boxer,3,24.7,2024-04-24,103,21.72
07 AAA 003,Renault,Boxer,3,24.7,2024-04-25,106,28.07
07 AAA 003,Renault,Boxer,3,24.7,2024-04-26,231,58.11
07 AAA 003,Renault,Boxer,3,24.7,2024-04-27,79,16.46
07 AAA 003,Renault,Boxer,3,24.7,2024-04-28,112,39.33
07 AAA 003,Renault,Boxer,3,24.7,2024-04-29,279,61.61
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-01,119,30.83
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-02,151,48.12
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-03,115,38.52
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-04,155,51.94
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-05,298,61.07
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-06,254,58.63
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-07,200,61.5
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-08,139,40.88
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-09,247,54.26
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-10,86,20.39
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-11,160,34.76
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-12,187,49.8
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-13,179,59.37
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-14,162,49.03
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-15,142,28.62
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-16,149,41.47
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-17,104,21.54
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-18,133,39.91
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-19,200,71.05
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-20,49,15.45
07 AAA 004,Mercedes,Caddy,3,24.73,2024-01-21,183,38.2
